titulo;precio;ano;kilometraje;cilindrada;url;precio_num;cilindrada_cc;km;rango_cc;rango_km
BMW F850 Adventurer como nueva + adicionales;$14.000.000;2021.0;12772.0;850.0;https://www.chilemotos.com/moto/66431/;14000000.0;850.0;12772.0;501-1000cc;10k-30k
VENTA MOTO SUZUKI GZ150-A CHOPPER;$1.400.000;2019.0;6000.0;150.0;https://www.chilemotos.com/moto/66411/;1400000.0;150.0;6000.0;0-200cc;0-10k
Se vende BMW GS II 2024;$12.600.000;2024.0;19420.0;850.0;https://www.chilemotos.com/moto/66406/;12600000.0;850.0;19420.0;501-1000cc;10k-30k
Vendo Cuatrimoto;$750.000;2023.0;1.0;125.0;https://www.chilemotos.com/moto/66385/;750000.0;125.0;1.0;0-200cc;0-10k
BMW G310 GS;$5.700.000;2022.0;350.0;310.0;https://www.chilemotos.com/moto/66365/;5700000.0;310.0;350.0;201-500cc;0-10k
Honda DIO 110;$1.200.000;2023.0;6700.0;110.0;https://www.chilemotos.com/moto/66347/;1200000.0;110.0;6700.0;0-200cc;0-10k
Por no uso se vende;$11.990.000;2025.0;5800.0;900.0;https://www.chilemotos.com/moto/66315/;11990000.0;900.0;5800.0;501-1000cc;0-10k
BMW S1000 XR;$21.500.000;2025.0;1180.0;1.0;https://www.chilemotos.com/moto/66306/;21500000.0;1000.0;1180.0;501-1000cc;0-10k
2025 Moto Haojue Tr150s;$1.350.000;2025.0;3780.0;150.0;https://www.chilemotos.com/moto/66284/;1350000.0;150.0;3780.0;0-200cc;0-10k
Honda CB500X 2019 – Impecable – Uso diario – Full accesorios – Conversable;$4.000.000;2019.0;53900.0;471.0;https://www.chilemotos.com/moto/66257/;4000000.0;471.0;53900.0;201-500cc;50k+
BMW 1250 Adventure HP;$17.990.550;2016.0;55000.0;1.247;https://www.chilemotos.com/moto/66249/;17990550.0;1247.0;55000.0;1000cc+;50k+
Zonsen Cyclone Ra2 2025 – 5.000 Km;$2.089.998;2025.0;5400.0;250.0;https://www.chilemotos.com/moto/66229/;2089998.0;250.0;5400.0;201-500cc;0-10k
Yamaha XTZ 2024 casi nueva | 820 km | GPS;$2.400.000;2024.0;820.0;150.0;https://www.chilemotos.com/moto/66214/;2400000.0;150.0;820.0;0-200cc;0-10k
Moto Cyclone AR2;$2.200.000;2025.0;3000.0;250.0;https://www.chilemotos.com/moto/66184/;2200000.0;250.0;3000.0;201-500cc;0-10k
Oportunidad vendo Moto Honda Elite 125 año 2012;$600;2012.0;32545.0;125.0;https://www.chilemotos.com/moto/66005/;600000.0;125.0;32545.0;0-200cc;30k-50k
Royal enfield supernova blue a la venta;$3.600.000;2024.0;6000.0;350.0;https://www.chilemotos.com/moto/65997/;3600000.0;350.0;6000.0;201-500cc;0-10k
